Crop,Nitrogen,Phosphorus,Potassium,Rainfall,Yield
Wheat,78,57,22,160,2652
Cotton,55,10,55,277,2921
Wheat,38,25,44,160,2014
Wheat,109,70,15,263,4096
Barley,86,73,78,83,2763
Cotton,38,72,56,160,2932
Barley,39,78,34,57,1786
Soybean,115,31,75,217,4384
Millet,90,76,19,162,2925
Soybean,71,35,65,285,3232
Millet,52,25,39,132,2352
Barley,59,60,14,91,2207
Soybean,58,66,42,218,4310
Cotton,101,38,74,150,2646
Rice,20,78,27,55,1835
Barley,30,56,58,229,3411
Millet,111,71,20,75,2802
Sugarcane,76,78,35,113,2535
Millet,108,25,72,275,3579
Sugarcane,69,57,68,236,2773
Wheat,42,48,36,233,3405
Soybean,50,42,58,108,2209
Sugarcane,113,32,42,158,3064
Millet,61,19,10,247,1415
Wheat,118,78,30,278,3679
Rice,26,43,64,170,3128
Cotton,35,61,15,82,1968
Cotton,109,19,78,230,4376
Cotton,79,28,14,199,3175
Sugarcane,21,67,12,70,1088
Rice,20,10,62,247,3489
Sugarcane,67,78,32,119,3830
Soybean,31,13,62,296,2439
Sugarcane,88,25,46,161,1100
Rice,56,33,26,53,1582
Rice,51,11,10,143,1831
Soybean,28,41,60,124,1848
Rice,118,33,54,239,3790
Millet,38,21,13,111,1092
Rice,67,59,71,143,3598
Cotton,99,44,74,144,3504
Millet,22,42,41,201,2724
Millet,39,42,43,104,2650
Soybean,43,70,48,186,1807
Maize,73,60,35,296,3259
Maize,52,52,43,180,2421
Rice,43,21,63,292,4272
Millet,94,76,12,80,2916
Maize,91,74,59,89,3694
Maize,55,42,21,278,1988
Rice,57,49,74,85,2679
Maize,103,52,63,201,4293
Sugarcane,118,53,14,272,4336
Wheat,108,38,66,55,3322
Soybean,118,22,26,115,2875
Wheat,44,21,56,261,2807
Rice,112,55,32,269,3158
Cotton,37,11,23,124,1086
Soybean,101,44,75,53,3173
Rice,85,17,60,128,2361
Millet,73,35,47,183,3244
Cotton,54,43,73,167,3124
Wheat,99,16,47,162,3640
Rice,80,77,59,143,3908
Millet,60,67,39,297,3692
Soybean,119,38,60,279,4609
Soybean,52,45,72,228,3682
Barley,87,30,61,111,2576
Millet,52,45,47,234,2795
Sugarcane,33,19,39,243,2279
Maize,40,33,60,128,1998
Cotton,67,73,14,252,3788
Millet,39,58,38,185,2272
Barley,27,45,13,75,2075
Maize,26,33,19,228,1932
Maize,86,32,65,222,3670
Rice,36,71,26,93,2200
Maize,52,46,26,182,2014
Sugarcane,67,21,78,119,2622
Soybean,95,64,43,203,3804
Barley,78,22,15,167,2386
Maize,105,32,62,117,2492
Rice,41,39,75,68,3023
Sugarcane,49,26,52,261,2915
Wheat,57,71,32,274,2999
Soybean,70,22,64,69,3109
Soybean,73,68,25,162,3279
Barley,27,28,17,189,1255
Soybean,46,58,13,96,1473
Maize,46,21,13,50,1210
Rice,117,70,65,139,4088
Soybean,40,28,34,191,2542
Soybean,49,18,76,113,2751
Wheat,116,37,76,87,3648
Wheat,47,61,36,86,2900
Cotton,83,25,41,175,2893
Sugarcane,116,78,59,188,3826
Maize,88,21,70,149,3015
